B 	S 	L 	A 	M 	I 	N 	A 	A 	S 	E 	L 	B 	A 	T 	E 	G 	E 	V 	F
G 	R 	R 	F 	U 	N 	G 	I 	C 	I 	D 	E 	N 	O 	T 	T 	O 	C 	E 	C
B 	S 	E 	B 	O 	R 	G 	A 	N 	I 	C 	B 	E 	A 	N 	S 	M 	R 	R 	G
S 	I 	E 	E 	O 	G 	R 	E 	E 	N 	M 	A 	N 	U 	R 	E 	T 	O 	R 	N
O 	E 	O 	N 	D 	M 	E 	T 	S 	Y 	S 	O 	C 	E 	A 	I 	F 	E 	G 	I
F 	R 	O 	T 	O 	I 	C 	A 	T 	T 	L 	E 	O 	T 	L 	T 	E 	D 	N 	M
C 	M 	G 	T 	E 	M 	N 	W 	H 	E 	A 	T 	W 	I 	I 	N 	G 	I 	I 	R
Y 	E 	S 	A 	A 	C 	R 	G 	R 	I 	C 	E 	Z 	N 	R 	R 	A 	C 	T 	A
R 	T 	R 	E 	N 	T 	H 	O 	P 	I 	C 	E 	G 	E 	A 	A 	L 	I 	E 	F
D 	M 	I 	T 	D 	I 	O 	N 	H 	E 	R 	U 	V 	I 	S 	P 	I 	B 	K 	N
N 	R 	A 	S 	I 	I 	C 	P 	O 	S 	S 	O 	N 	H 	D 	P 	S 	R 	R 	O
A 	O 	F 	I 	R 	F 	C 	P 	L 	L 	L 	T 	E 	P 	O 	L 	E 	E 	A 	I
B 	T 	R 	X 	Z 	E 	I 	I 	R 	U 	O 	E 	I 	L 	O 	E 	P 	H 	M 	T
S 	A 	U 	A 	T 	E 	V 	C 	T 	O 	P 	G 	B 	C 	F 	S 	A 	S 	F 	A
U 	V 	I 	L 	U 	E 	O 	I 	A 	C 	D 	L 	Y 	A 	I 	R 	R 	E 	A 	V
H 	E 	T 	F 	S 	M 	O 	E 	D 	T 	E 	U 	A 	R 	L 	D 	G 	E 	R 	I
M 	L 	S 	T 	P 	N 	E 	Y 	R 	O 	I 	S 	C 	N 	A 	O 	E 	D 	M 	T
I 	E 	O 	O 	S 	E 	L 	E 	C 	T 	I 	O 	N 	T 	T 	N 	C 	S 	E 	L
L 	C 	S 	S 	N 	E 	K 	C 	I 	H 	C 	B 	N 	I 	S 	S 	C 	E 	R 	U
K 	T 	S 	R 	O 	T 	U 	B 	I 	R 	T 	S 	I 	D 	P 	M 	E 	H 	S 	C
